GeneID	GeneType	H003	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007	H001	H002	H004	H005	H006
SNORD121B	snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR4	mRNA	4	0.0	0.0	0.0	8	165	18	0.0	0.0	53	0.0	1	1	0.0	0.0	24	0.0	0.0
SNORD121A	snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR6	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR7	mRNA	2	0.0	0.0	0.0	0.0	157	133	0.0	0.0	46	0.0	122	0.0	0.0	0.0	49	0.0	0.0
LOC100132330	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BBX	mRNA	169	0.0	0.0	0.0	0.0	75	220	0.0	78	0.0	0.0	0.0	0.0	155	0.0	0.0	43	82
RP11-48F14.1	lncRNA	1	0.0	0.0	0.0	0.0	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421505	ncRNA	0.0	0.0	0.0	0.0	43	0.0	0.0	0.0	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WDR83OS	mRNA	657	771	810	312	196	453	514	1468	952	310	587	330	351	736	936	1034	778	405
LOC100421508	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421509	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34	0.0	0.0	0.0	0.0	0.0
