GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
"HTR4"	0.0	0.0	0.0	165.0	0.0	53.0	1.0	1.0
"HTR7"	0.0	0.0	0.0	157.0	0.0	46.0	122.0	0.0
"BBX"	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0
"RP11-48F14.1"	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
"WDR83OS"	771.0	810.0	312.0	453.0	1468.0	310.0	330.0	351.0
"LOC100421509"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
"LOC100421503"	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0
"BCR"	486.0	579.0	0.0	923.0	129.0	97.0	4.0	50.0
"VOPP1"	477.0	672.0	636.0	1573.0	1392.0	590.0	264.0	632.0
"LOC402715"	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
"LOC100421518"	0.0	0.0	57.0	0.0	0.0	1.0	0.0	0.0
"COL13A1"	0.0	1.0	0.0	81.0	128.0	58.0	12.0	0.0
"TARSL2"	269.0	123.0	73.0	118.0	8.0	50.0	135.0	173.0
"LOC100421513"	0.0	0.0	0.0	39.0	0.0	0.0	22.0	0.0
"T"	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
"LOC100132352"	63.0	126.0	0.0	35.0	448.0	0.0	141.0	14.0
"LOC100132354"	36.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0
"LOC100132356"	153.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"GTF2IRD2B"	60.0	0.0	90.0	304.0	22.0	110.0	0.0	113.0
"SRP72P2"	118.0	0.0	0.0	10.0	0.0	42.0	0.0	4.0
"LOC100335030"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0
"LOC100421527"	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"DHFR"	1.0	4.0	0.0	23.0	0.0	76.0	34.0	36.0
"STRC"	0.0	4.0	8.0	0.0	0.0	222.0	47.0	0.0
"STRN"	122.0	218.0	15.0	176.0	142.0	51.0	130.0	228.0
"LOC100288181"	0.0	67.0	0.0	0.0	0.0	0.0	133.0	0.0
"BBC3"	254.0	118.0	328.0	633.0	1.0	58.0	104.0	0.0
"MYBPC3"	0.0	60.0	0.0	288.0	0.0	0.0	116.0	0.0
"MYBPC1"	199.0	214.0	0.0	82.0	5.0	37.0	44.0	15.0
"MYBPC2"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0
"FLJ20021"	150.0	68.0	61.0	0.0	0.0	0.0	178.0	120.0
"BGN"	337.0	586.0	22.0	70.0	374.0	128.0	167.0	194.0
"LOC100288192"	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0
"TMEFF1"	0.0	84.0	0.0	9.0	0.0	0.0	0.0	0.0
"TMEFF2"	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
"LOC100132306"	133.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0
"RPS7P11"	37.0	119.0	58.0	40.0	16.0	70.0	10.0	35.0
"RPS7P10"	81.0	51.0	69.0	91.0	4.0	112.0	55.0	73.0
"PAXBP1-AS1"	29.0	0.0	15.0	78.0	0.0	0.0	66.0	35.0
"STX6"	0.0	238.0	0.0	382.0	2.0	38.0	15.0	54.0
"STX5"	584.0	693.0	411.0	253.0	340.0	288.0	145.0	421.0
"STX4"	494.0	686.0	556.0	280.0	436.0	146.0	178.0	214.0
"STX3"	0.0	136.0	44.0	136.0	0.0	0.0	67.0	0.0
"BID"	113.0	684.0	60.0	947.0	233.0	245.0	167.0	303.0
"STX2"	0.0	111.0	12.0	0.0	0.0	0.0	225.0	30.0
"SPDEF"	492.0	404.0	205.0	0.0	29.0	206.0	54.0	258.0
"MBD3"	2758.0	5346.0	1917.0	1282.0	2887.0	1772.0	2408.0	1536.0
"MBD4"	72.0	72.0	0.0	553.0	0.0	139.0	68.0	22.0
"MBD5"	0.0	0.0	36.0	122.0	0.0	0.0	0.0	0.0
"GATSL3"	0.0	319.0	0.0	0.0	0.0	75.0	0.0	36.0
"MBD6"	168.0	673.0	231.0	491.0	128.0	159.0	156.0	172.0
"BIK"	70.0	194.0	0.0	0.0	309.0	17.0	107.0	2.0
"MBD1"	450.0	734.0	254.0	455.0	277.0	62.0	196.0	411.0
"MBD2"	379.0	333.0	2.0	53.0	0.0	59.0	68.0	283.0
"PRKRIR"	93.0	321.0	29.0	62.0	0.0	50.0	0.0	237.0
"LOC257358"	0.0	137.0	0.0	57.0	0.0	0.0	0.0	0.0
"FBXO27"	0.0	74.0	0.0	1.0	0.0	0.0	0.0	9.0
"FBXO28"	0.0	180.0	111.0	26.0	0.0	28.0	44.0	77.0
"FBXO25"	237.0	384.0	0.0	118.0	0.0	115.0	0.0	57.0
"FBXO24"	75.0	54.0	0.0	0.0	0.0	0.0	0.0	21.0
"FBXO21"	0.0	0.0	0.0	60.0	0.0	73.0	62.0	28.0
"FBXO22"	0.0	0.0	0.0	247.0	0.0	0.0	0.0	38.0
"FADS3"	453.0	211.0	0.0	0.0	983.0	42.0	271.0	0.0
