AccID	log2FC	Pvalue	FDR	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
HTR4	0.824680479872288	1	1	0.0	0.0	0.0	165.0	0.0	53.0	1.0	1.0
HTR7	-0.892461071467608	0.758903269192376	0.999856696914365	0.0	0.0	0.0	157.0	0.0	46.0	122.0	0.0
BBX	6.0793118026183	1	1	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0
RP11-48F14.1	4.85097305933421	1	1	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
WDR83OS	-0.615554943730243	0.518690746586483	0.999856696914365	771.0	810.0	312.0	453.0	1468.0	310.0	330.0	351.0
LOC100421509	-5.94692948097016	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
LOC100421503	-20.1582720713766	1	1	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0
BCR	2.1690614947798	0.166096069379419	0.999856696914365	486.0	579.0	0.0	923.0	129.0	97.0	4.0	50.0
VOPP1	-0.249136249058961	0.796158130159111	0.999856696914365	477.0	672.0	636.0	1573.0	1392.0	590.0	264.0	632.0
LOC402715	4.75791739090658	1	1	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
LOC100421518	5.50768803054759	1	1	0.0	0.0	57.0	0.0	0.0	1.0	0.0	0.0
COL13A1	-1.80088337361329	0.444573671195683	0.999856696914365	0.0	1.0	0.0	81.0	128.0	58.0	12.0	0.0
TARSL2	0.0580312738769442	0.961526562427534	0.999856696914365	269.0	123.0	73.0	118.0	8.0	50.0	135.0	173.0
LOC100421513	0.02374128678603	1	1	0.0	0.0	0.0	39.0	0.0	0.0	22.0	0.0
T	5.88723469449971	1	1	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
LOC100132352	-2.17048990536087	0.240527461285325	0.999856696914365	63.0	126.0	0.0	35.0	448.0	0.0	141.0	14.0
LOC100132354	-0.942683820826793	1	1	36.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0
LOC100132356	21.6893000039634	1	1	153.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GTF2IRD2B	0.43606802416855	0.815552356378101	0.999856696914365	60.0	0.0	90.0	304.0	22.0	110.0	0.0	113.0
SRP72P2	0.780890840835569	1	1	118.0	0.0	0.0	10.0	0.0	42.0	0.0	4.0
LOC100335030	-6.64000154243897	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0
LOC100421527	21.1657374173931	1	1	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHFR	-3.14163340436829	0.124329923429851	0.999856696914365	1.0	4.0	0.0	23.0	0.0	76.0	34.0	36.0
STRC	-5.00821432968244	0.0404494227828846	0.462827907291519	0.0	4.0	8.0	0.0	0.0	222.0	47.0	0.0
STRN	-0.760407429272495	0.484210524964763	0.999856696914365	122.0	218.0	15.0	176.0	142.0	51.0	130.0	228.0
LOC100288181	-2.32422084615454	1	1	0.0	67.0	0.0	0.0	0.0	0.0	133.0	0.0
BBC3	2.37141234467314	0.1404507701763	0.999856696914365	254.0	118.0	328.0	633.0	1.0	58.0	104.0	0.0
MYBPC3	0.700690118231951	0.807448537171478	0.999856696914365	0.0	60.0	0.0	288.0	0.0	0.0	116.0	0.0
MYBPC1	1.38907653601498	0.383114434332531	0.999856696914365	199.0	214.0	0.0	82.0	5.0	37.0	44.0	15.0
MYBPC2	-21.5992446220778	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0
FLJ20021	-0.699995890944225	0.74558878268586	0.999856696914365	150.0	68.0	61.0	0.0	0.0	0.0	178.0	120.0
BGN	-0.551117689228283	0.62272545937983	0.999856696914365	337.0	586.0	22.0	70.0	374.0	128.0	167.0	194.0
LOC100288192	-21.5751345764382	1	1	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0
TMEFF1	5.91943375490197	0.0806212073945354	1	0.0	84.0	0.0	9.0	0.0	0.0	0.0	0.0
TMEFF2	-6.61854939689683	1	1	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
LOC100132306	-0.376015603138811	1	1	133.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0
RPS7P11	0.264148876091931	0.831211694182424	0.999856696914365	37.0	119.0	58.0	40.0	16.0	70.0	10.0	35.0
RPS7P10	-0.328173530284071	0.794185700164506	0.999856696914365	81.0	51.0	69.0	91.0	4.0	112.0	55.0	73.0
PAXBP1-AS1	-0.323268413370927	0.888518918468156	0.999856696914365	29.0	0.0	15.0	78.0	0.0	0.0	66.0	35.0
STX6	1.71755197501899	0.383961565665408	0.999856696914365	0.0	238.0	0.0	382.0	2.0	38.0	15.0	54.0
STX5	0.146246548542392	0.871327681879848	0.999856696914365	584.0	693.0	411.0	253.0	340.0	288.0	145.0	421.0
STX4	0.558419835924215	0.543757260602354	0.999856696914365	494.0	686.0	556.0	280.0	436.0	146.0	178.0	214.0
STX3	1.33082878419926	0.596278375091515	0.999856696914365	0.0	136.0	44.0	136.0	0.0	0.0	67.0	0.0
BID	0.196470476925802	0.855930868065484	0.999856696914365	113.0	684.0	60.0	947.0	233.0	245.0	167.0	303.0
STX2	-2.20048528117512	0.384588026901284	0.999856696914365	0.0	111.0	12.0	0.0	0.0	0.0	225.0	30.0
SPDEF	0.389553375952143	0.798625574834651	0.999856696914365	492.0	404.0	205.0	0.0	29.0	206.0	54.0	258.0
MBD3	-0.292613306840647	0.738010743576521	0.999856696914365	2758.0	5346.0	1917.0	1282.0	2887.0	1772.0	2408.0	1536.0
MBD4	0.81533019916525	0.666654717976453	0.999856696914365	72.0	72.0	0.0	553.0	0.0	139.0	68.0	22.0
