AccID	log2FC	Pvalue	FDR	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
HTR4	1.17154637594309	0.625797906920445	0.999945521717091	0.0	0.0	0.0	8.0	165.0	18.0	0.0	0.0	53.0	0.0	1.0	1.0
HTR6	-20.2542432245153	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0
HTR7	0.0953853112451616	0.973137882291078	0.999945521717091	0.0	0.0	0.0	0.0	157.0	133.0	0.0	0.0	46.0	0.0	122.0	0.0
BBX	2.52423632374556	0.383285908323503	0.999945521717091	0.0	0.0	0.0	0.0	75.0	220.0	0.0	78.0	0.0	0.0	0.0	0.0
RP11-48F14.1	4.53056530505065	1	1	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421505	1.81080348558436	1	1	0.0	0.0	0.0	43.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0
WDR83OS	-0.502708515723538	0.350402465596435	0.999945521717091	771.0	810.0	312.0	196.0	453.0	514.0	1468.0	952.0	310.0	587.0	330.0	351.0
LOC100421509	-5.0741323526563	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
LOC100421503	-6.63567502451236	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0
BCR	0.29915185060169	0.807144945451512	0.999945521717091	486.0	579.0	0.0	32.0	923.0	456.0	129.0	1491.0	97.0	422.0	4.0	50.0
VOPP1	0.269119145252062	0.673950002436616	0.999945521717091	477.0	672.0	636.0	348.0	1573.0	1250.0	1392.0	708.0	590.0	244.0	264.0	632.0
LOC402715	4.43792554657491	1	1	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421518	5.57201442216102	0.063985263438	0.519708804051553	0.0	0.0	57.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
COL13A1	-1.95605912100177	0.384433688903417	0.999945521717091	0.0	1.0	0.0	0.0	81.0	0.0	128.0	0.0	58.0	34.0	12.0	0.0
TARSL2	-0.238026617123862	0.84572633170454	0.999945521717091	269.0	123.0	73.0	51.0	118.0	1.0	8.0	413.0	50.0	0.0	135.0	173.0
LOC100421511	-3.24440617140646	0.284084059703021	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
LOC100421513	1.8822909917078	0.516486033482174	0.999945521717091	0.0	0.0	0.0	36.0	39.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
T	5.52733752475802	1	1	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132352	-2.62994725131924	0.0738836510993439	0.579822581438965	63.0	126.0	0.0	0.0	35.0	5.0	448.0	351.0	0.0	93.0	141.0	14.0
LOC100132354	-0.928892911349196	1	1	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0
LOC100132356	21.8686198827209	1	1	153.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTF2IRD2B	0.304101843742202	0.852032824497173	0.999945521717091	60.0	0.0	90.0	0.0	304.0	4.0	22.0	53.0	110.0	3.0	0.0	113.0
SRP72P2	1.74117059457838	0.449974863334811	0.999945521717091	118.0	0.0	0.0	1.0	10.0	107.0	0.0	0.0	42.0	0.0	0.0	4.0
LOC100335030	-5.76808964720613	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0
LOC100421527	21.4349916799709	1	1	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHFR	0.67748688490196	0.71142162924573	0.999945521717091	1.0	4.0	0.0	208.0	23.0	1.0	0.0	202.0	76.0	0.0	34.0	36.0
STRC	-5.14243424304491	0.0255058510201711	0.341481457652161	0.0	4.0	8.0	0.0	0.0	0.0	0.0	62.0	222.0	0.0	47.0	0.0
STRN	-0.90789643918732	0.289994451094088	0.999945521717091	122.0	218.0	15.0	63.0	176.0	3.0	142.0	438.0	51.0	96.0	130.0	228.0
LOC100288181	-2.53279472763812	0.3820750068585	0.999945521717091	0.0	67.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	133.0	0.0
BBC3	1.08251685686997	0.4050653710582	0.999945521717091	254.0	118.0	328.0	1.0	633.0	350.0	1.0	451.0	58.0	227.0	104.0	0.0
MYBPC3	-0.402034492708128	0.871712261758224	0.999945521717091	0.0	60.0	0.0	0.0	288.0	0.0	0.0	76.0	0.0	154.0	116.0	0.0
MYBPC1	1.45451342063242	0.405315594148362	0.999945521717091	199.0	214.0	0.0	7.0	82.0	0.0	5.0	0.0	37.0	0.0	44.0	15.0
MYBPC2	-7.61021010402114	0.00579893855202786	0.150983254995737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	27.0	0.0	127.0
FLJ20021	-0.0387371478073636	0.983131207645182	0.999945521717091	150.0	68.0	61.0	95.0	0.0	1.0	0.0	141.0	0.0	0.0	178.0	120.0
BGN	0.334659965076547	0.67072990511224	0.999945521717091	337.0	586.0	22.0	150.0	70.0	618.0	374.0	119.0	128.0	205.0	167.0	194.0
LOC100288192	-19.9366439815742	1	1	0.0	0.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0
TMEFF1	7.05797794635065	0.015771667943537	0.299612301570387	0.0	84.0	0.0	43.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEFF2	-5.76394409852387	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0
TRDD2	5.44621366749347	1	1	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132306	-0.375178430121687	1	1	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0
