AccID	log2FC	Pvalue	FDR	Style	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
LOC101927809	22.8656105775042	2.74213999689229e-14	5.49200652472748e-12	up	113.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX12	8.29080737680666	3.86674188374628e-05	0.00230724050958356	up	131.0	202.0	0.0	98.0	0.0	58.0	0.0	1.0	0.0	0.0	0.0	0.0
DAPL1	-21.8971700274988	3.17306742027747e-13	2.48907991300128e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	78.0	0.0	0.0
DIO2	23.5327763899073	4.7315048676262e-15	3.695533984323e-12	up	0.0	0.0	0.0	138.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC642554	-21.9262483904926	2.95141683236468e-13	2.34553864332772e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	33.0	0.0
CD300LF	-8.09235471762115	8.19867999927561e-06	0.000510985538721975	down	0.0	0.0	0.0	0.0	0.0	1.0	1.0	175.0	37.0	142.0	0.0	115.0
LOC389199	22.2567998910193	1.29293202364392e-13	1.15911674375841e-11	up	159.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLEC14A	-8.71621271674247	6.05567774899556e-06	0.000382664164423508	down	0.0	0.0	0.0	0.0	0.0	0.0	162.0	113.0	85.0	113.0	0.0	1.0
SNORA57	-23.323235439473	8.19880485407725e-15	4.14273359072858e-12	down	0.0	0.0	0.0	0.0	0.0	0.0	465.0	0.0	0.0	0.0	0.0	76.0
SNORA44	22.6867770596452	4.35352380607259e-14	6.04807478982558e-12	up	0.0	38.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	0.0
IGLV2-34	23.1615536969106	1.26607380432538e-14	4.63788829646378e-12	up	300.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL2	24.2301691832652	1.83918707278163e-18	1.1157121845851e-14	up	1.0	129.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724708	23.0452982592842	1.71642741065218e-14	4.83051585251027e-12	up	152.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724715	22.873996587325	2.68132040558179e-14	5.49200652472748e-12	up	0.0	0.0	0.0	26.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0
SWT1	22.7390705059666	3.80621634506053e-14	5.89249266547951e-12	up	0.0	0.0	0.0	54.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG9	23.2183435107218	1.08941990040386e-14	4.34555233173109e-12	up	0.0	48.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHBP11	22.7573035771607	3.63016386884201e-14	5.89249266547951e-12	up	0.0	0.0	0.0	86.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KRT8P47	-22.4089858932874	8.74708500305294e-14	8.60476756597624e-12	down	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	135.0
GPR144	24.0146742816624	1.29906363161271e-15	1.89941413082515e-12	up	0.0	0.0	0.0	74.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0
GAPDHS	22.6314208178517	5.02456017760145e-14	6.35013685223395e-12	up	0.0	0.0	0.0	75.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724877	-21.7576076128984	4.48941965140815e-13	3.26811792943908e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	116.0	0.0
LOC100288001	8.54728609543195	6.9475368098976e-06	0.000435993870356298	up	161.0	42.0	0.0	44.0	5.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0
GEMIN8P4	22.5935335307853	5.53906754851478e-14	6.54581105944289e-12	up	0.0	217.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
PVRIG2P	-8.10237036837701	5.46166712311851e-05	0.00321672750723734	down	0.0	0.0	0.0	0.0	1.0	0.0	0.0	106.0	110.0	113.0	68.0	0.0
RP11-789C1.1	22.6043765543211	5.3865622852827e-14	6.45133715808431e-12	up	126.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DLAT	-9.02935833154471	3.00265716669909e-05	0.00181546039125438	down	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	81.0	50.0	130.0	0.0
RGS9BP	23.0463873126427	1.71205641707638e-14	4.83051585251027e-12	up	0.0	0.0	216.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC101927759	22.4829451945879	7.35620535656663e-14	7.69399892437679e-12	up	0.0	0.0	132.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724574	23.1460883299341	2.68082464045483e-16	8.13138793860624e-13	up	335.0	48.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724549	22.581180682188	5.7173518943216e-14	6.62739408437954e-12	up	0.0	134.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHODL	-22.0047231707093	2.42528624272024e-13	1.97927283996707e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	91.0	0.0	0.0
LOC100129096	23.6835970900668	1.57877068171861e-17	5.74640952731939e-14	up	491.0	0.0	0.0	0.0	55.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007551.3	-22.0456232060692	2.18906305940174e-13	1.81085266445692e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	35.0	0.0	0.0
LOC102724638	22.7749376698256	3.46693891447829e-14	5.89249266547951e-12	up	0.0	0.0	0.0	0.0	40.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0
USP32P4	22.8664666157251	2.73600277751533e-14	5.49200652472748e-12	up	0.0	0.0	0.0	90.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCEA1P4	-22.528753965817	6.44584886045578e-14	7.06674719345993e-12	down	0.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	0.0	72.0	0.0
GPR62	23.9869841670214	1.40036921614958e-15	1.89941413082515e-12	up	0.0	0.0	79.0	0.0	0.0	515.0	0.0	0.0	0.0	0.0	0.0	0.0
PPP1R3G	22.7869895437847	3.36226369465175e-14	5.85378999561932e-12	up	0.0	0.0	0.0	23.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB6	22.7513945181736	3.68672153175272e-14	5.89249266547951e-12	up	209.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ID4	-22.0474157082052	2.17969287219434e-13	1.81085266445692e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	125.0	161.0	0.0	0.0	0.0	0.0
LOC100421642	-22.2663513885859	1.25590571756498e-13	1.1314964432656e-11	down	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	94.0	0.0
TRIM6	22.8185069564171	3.09862257558488e-14	5.59710778946143e-12	up	0.0	0.0	0.0	84.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
