AccID	log2FC	Pvalue	FDR	Style	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
RASSF10	-23.5114315205708	2.17148255070421e-17	5.93981637110608e-14	down	0.0	0.0	0.0	0.0	487.0	0.0	0.0	37.0
SNORA57	-21.8597913406366	1.48010452976446e-15	1.57505892805859e-12	down	0.0	0.0	0.0	0.0	465.0	0.0	0.0	76.0
GK	8.71077110661815	1.15233299049688e-05	0.00405520643461563	up	40.0	100.0	209.0	49.0	0.0	0.0	0.0	0.0
ACVR1C	-9.843294657903	2.90211456958281e-05	0.00677086972861544	down	0.0	0.0	0.0	0.0	423.0	23.0	0.0	73.0
HIST1H3A	9.10134917789721	8.11214568993774e-07	0.000510106470339085	up	50.0	208.0	158.0	183.0	0.0	0.0	0.0	0.0
TGFB3	9.7222394013307	1.91181937472833e-07	0.000146933940166621	up	256.0	134.0	26.0	542.0	0.0	0.0	0.0	0.0
CDCA3	-10.5267233019916	2.46248317431659e-07	0.000179294695965767	down	0.0	0.0	0.0	0.0	518.0	1.0	101.0	186.0
ATP1A1OS	-8.33880690680909	4.57952125616799e-05	0.00945568612803402	down	1.0	0.0	1.0	0.0	373.0	0.0	61.0	89.0
LOC100129096	23.4083958991395	1.82551172276858e-16	2.10451076439837e-13	up	491.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0
FBXL14	6.87983798552365	1.57734064447333e-05	0.00454602718242583	up	442.0	703.0	209.0	311.0	10.0	0.0	0.0	0.0
BPIFB4	-23.2434914217086	1.67109352601536e-16	2.10162798535423e-13	down	0.0	0.0	0.0	0.0	398.0	26.0	0.0	0.0
KIF2A	24.338241637101	2.7438489686274e-19	1.26528022106638e-15	up	0.0	186.0	0.0	989.0	0.0	0.0	0.0	0.0
TPCN2	8.60502509777999	2.04173343127971e-05	0.00553830201731833	up	244.0	24.0	68.0	64.0	0.0	0.0	0.0	0.0
RP11-290F20.3	8.70458177117715	4.54537485298439e-05	0.00945568612803402	up	281.0	198.0	0.0	336.0	0.0	1.0	0.0	0.0
RP11-460N16.1	-23.4705806490455	3.41700923662464e-17	6.71660922894949e-14	down	0.0	0.0	0.0	0.0	467.0	0.0	31.0	0.0
DHODH	-9.7400522844424	2.79337052509341e-09	2.76024913172444e-06	down	0.0	1.0	0.0	0.0	197.0	88.0	146.0	289.0
MB21D1	7.15337275410307	2.59665448021001e-05	0.00634848563189909	up	66.0	189.0	49.0	161.0	0.0	0.0	1.0	1.0
TMEM92	8.48579827471775	1.30667752869056e-05	0.00412186613139094	up	76.0	105.0	125.0	64.0	0.0	0.0	0.0	0.0
GALNT14	8.88753744322486	3.17637131004309e-06	0.00141748131300439	up	278.0	131.0	34.0	98.0	0.0	0.0	0.0	0.0
HIST1H2AI	9.58695624340282	1.83651499392637e-05	0.00508126968519547	up	243.0	501.0	0.0	256.0	0.0	0.0	0.0	0.0
GATA1	9.12156648577653	2.52866943760618e-05	0.00634848563189909	up	62.0	292.0	0.0	753.0	0.0	0.0	0.0	1.0
TPSD1	8.24843728007991	1.80721250550278e-06	0.000961576069274059	up	102.0	170.0	120.0	158.0	0.0	0.0	0.0	1.0
SNX18P12	-10.3762448538796	5.45315735060726e-06	0.00221879349377355	down	0.0	0.0	0.0	0.0	518.0	159.0	0.0	37.0
AGGF1	8.60411806614663	2.08494033765233e-06	0.00106826165300305	up	173.0	34.0	77.0	397.0	0.0	0.0	1.0	0.0
TPRG1	8.51262558616077	1.65862989622958e-06	0.000917819439377601	up	162.0	42.0	164.0	232.0	0.0	0.0	1.0	0.0
ATP5S	-9.91063116021522	4.94953854059667e-08	4.02775977474202e-05	down	0.0	0.0	0.0	0.0	155.0	89.0	35.0	225.0
RGS8	-9.86551339913082	2.6157559709285e-05	0.00634848563189909	down	0.0	0.0	0.0	0.0	419.0	49.0	40.0	0.0
GLYATL1P3	-23.3760319698705	5.70607028741079e-17	8.68935150173236e-14	down	0.0	0.0	0.0	0.0	456.0	0.0	28.0	0.0
ZNF350	8.27565446668739	3.55838607827895e-05	0.00806995295195263	up	56.0	58.0	93.0	110.0	0.0	0.0	0.0	0.0
C9orf40	-9.70341756829753	5.72351706118934e-06	0.00226226100069981	down	0.0	0.0	0.0	1.0	580.0	74.0	0.0	110.0
LOC343508	-24.2839260093855	8.50177090864646e-20	8.87428629666374e-16	down	0.0	0.0	0.0	0.0	703.0	158.0	0.0	0.0
CRHBP	8.57001851608319	8.3331809028464e-06	0.00311570877324262	up	49.0	129.0	95.0	143.0	0.0	0.0	0.0	0.0
APOA1	-11.0531366095114	4.76694103063584e-09	4.39639081452108e-06	down	0.0	0.0	0.0	0.0	74.0	237.0	601.0	23.0
FAM47E	-10.237279666652	1.3109882158537e-05	0.00412186613139094	down	0.0	0.0	0.0	0.0	613.0	32.0	0.0	39.0
TTC21A	-9.8054986587055	1.64908567866023e-06	0.000917819439377601	down	0.0	0.0	0.0	0.0	2.0	161.0	154.0	89.0
DYNC1LI1	8.3354173287698	2.93662124994164e-05	0.00677086972861544	up	1.0	200.0	159.0	583.0	0.0	0.0	0.0	2.0
ETV6	8.47507714006849	2.74211931311452e-06	0.00126448261925421	up	51.0	182.0	44.0	408.0	0.0	1.0	0.0	0.0
NOD2	9.50339397565596	2.7330561039676e-05	0.00651881002453239	up	267.0	167.0	0.0	414.0	0.0	0.0	0.0	0.0
COQ3	8.44020702148592	1.46514473724946e-05	0.00440626354241501	up	90.0	100.0	109.0	64.0	0.0	0.0	0.0	0.0
CLTCL1	8.23476701212386	2.5413608886022e-06	0.00121231677699734	up	80.0	129.0	137.0	179.0	0.0	0.0	0.0	1.0
CPA4	-10.2833786178029	5.10123417049944e-06	0.00213849919741482	down	0.0	0.0	0.0	0.0	407.0	79.0	153.0	0.0
ACSL6	9.27297185789103	3.62603434534497e-06	0.00156757997292195	up	389.0	85.0	6.0	217.0	0.0	0.0	0.0	0.0
FLJ45513	-23.3884818989814	1.08852356553749e-17	3.76465875141142e-14	down	0.0	0.0	0.0	0.0	426.0	0.0	0.0	106.0
