GOID	GOTerm	DifGene	AllDifGene	GeneInGO	AllGene	P-Value	FDR	Enrichment	(-log10P)
GO:0006355	regulation of transcription, DNA-templated	1044	6054	2550	16961	1.49489E-09	1.2001E-05	1.147015682	8.825390183
GO:0006351	transcription, DNA-templated	977	6054	2398	16961	1.85159E-08	7.4323E-05	1.141443508	7.732454346
GO:0045893	positive regulation of transcription, DNA-templated	269	6054	588	16961	2.12453E-07	0.000568523	1.281692938	6.67273798
GO:0030036	actin cytoskeleton organization	94	6054	173	16961	3.78623E-07	0.000759896	1.522266843	6.421793198
GO:0007268	synaptic transmission	205	6054	440	16961	1.26217E-06	0.002026534	1.305299652	5.898883529
GO:0006810	transport	773	6054	1908	16961	2.06256E-06	0.002759706	1.135037372	5.685593302
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	421	6054	993	16961	4.05771E-06	0.004072744	1.187796072	5.391718793
GO:0007399	nervous system development	227	6054	501	16961	4.35534E-06	0.004072744	1.269396127	5.36097768
GO:0008285	negative regulation of cell proliferation	199	6054	432	16961	4.56586E-06	0.004072744	1.290560496	5.340477699
GO:0006470	protein dephosphorylation	91	6054	176	16961	9.12988E-06	0.007329466	1.448564248	5.039535023
GO:0016568	chromatin modification	137	6054	286	16961	1.28355E-05	0.008645173	1.342034163	4.891588156
GO:0007275	multicellular organismal development	463	6054	1112	16961	1.29418E-05	0.008645173	1.166501338	4.88800618
GO:0035556	intracellular signal transduction	219	6054	488	16961	1.39994E-05	0.008645173	1.257283831	4.853890335
GO:0051056	regulation of small GTPase mediated signal transduction	84	6054	165	16961	4.13404E-05	0.023705783	1.426278644	4.383625029
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	78	6054	152	16961	5.3956E-05	0.028877256	1.437672787	4.267960177
GO:0030203	glycosaminoglycan metabolic process	62	6054	116	16961	6.63134E-05	0.033272764	1.497416926	4.178398501
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	313	6054	739	16961	7.67508E-05	0.036244444	1.186612548	4.114917006
GO:0007264	small GTPase mediated signal transduction	310	6054	732	16961	8.37826E-05	0.037367029	1.186477892	4.076846288
GO:0051260	protein homooligomerization	90	6054	182	16961	9.01368E-05	0.038023602	1.385415873	4.045097673
GO:0016477	cell migration	100	6054	206	16961	9.50187E-05	0.038023602	1.360009109	4.022190816
GO:0007266	Rho protein signal transduction	37	6054	62	16961	9.94638E-05	0.038023602	1.671933779	4.002334812
GO:0007010	cytoskeleton organization	64	6054	122	16961	0.000106175	0.038191361	1.469701647	3.973977572
GO:0046328	regulation of JNK cascade	14	6054	17	16961	0.000109417	0.038191361	2.307215453	3.960914395
GO:0043547	positive regulation of GTPase activity	210	6054	483	16961	0.000206191	0.066335223	1.218095115	3.685730794
GO:0030336	negative regulation of cell migration	49	6054	90	16961	0.000206575	0.066335223	1.525325772	3.684923161
GO:0043410	positive regulation of MAPK cascade	48	6054	88	16961	0.00022514	0.068739822	1.52815569	3.647547866
GO:0016310	phosphorylation	327	6054	785	16961	0.000233279	0.068739822	1.16704374	3.632124107
GO:0006366	transcription from RNA polymerase II promoter	291	6054	692	16961	0.000242287	0.068739822	1.178137371	3.615670185
GO:0035574	histone H4-K20 demethylation	13	6054	16	16961	0.000254806	0.068739822	2.276315246	3.593790209
GO:0048011	neurotrophin TRK receptor signaling pathway	175	6054	396	16961	0.000256875	0.068739822	1.2380891	3.590277706
