PathwayID	PathwayTerm	DifGene	AllDifGene	GeneInPathway	AllGene	P-Value	FDR	Enrichment	(-log10P)
PATH:04144	Endocytosis	109	2340	204	6782	1.43077E-08	4.0634E-06	1.548596447	7.844429289
PATH:04360	Axon guidance	71	2340	131	6782	2.43543E-06	0.000345831	1.570829256	5.613424517
PATH:04921	Oxytocin signaling pathway	81	2340	158	6782	8.765E-06	0.000829753	1.485832522	5.057248226
PATH:04390	Hippo signaling pathway	78	2340	153	6782	1.66497E-05	0.000951922	1.477559913	4.778594552
PATH:05214	Glioma	39	2340	65	6782	2.16773E-05	0.000951922	1.738974359	4.66399544
PATH:04014	Ras signaling pathway	108	2340	227	6782	2.4479E-05	0.000951922	1.378922399	4.611206192
PATH:05205	Proteoglycans in cancer	107	2340	225	6782	2.73289E-05	0.000951922	1.378298196	4.563377767
PATH:04015	Rap1 signaling pathway	102	2340	213	6782	2.93301E-05	0.000951922	1.387913808	4.532686001
PATH:04070	Phosphatidylinositol signaling system	46	2340	81	6782	3.01665E-05	0.000951922	1.645942809	4.520474371
PATH:04310	Wnt signaling pathway	77	2340	153	6782	3.3784E-05	0.000959464	1.458616837	4.471289476
PATH:04910	Insulin signaling pathway	72	2340	142	6782	4.40075E-05	0.001136195	1.469555796	4.356472858
PATH:05200	Pathways in cancer	145	2340	330	6782	0.000170141	0.003781607	1.273491323	3.769190571
PATH:04722	Neurotrophin signaling pathway	65	2340	130	6782	0.000173102	0.003781607	1.449145299	3.761698646
PATH:05032	Morphine addiction	49	2340	93	6782	0.000219171	0.00444603	1.527056337	3.659217886
PATH:04151	PI3K-Akt signaling pathway	150	2340	347	6782	0.000332928	0.006012577	1.252863371	3.477650175
PATH:04750	Inflammatory mediator regulation of TRP channels	51	2340	99	6782	0.000338737	0.006012577	1.493058793	3.47013769
PATH:04068	FoxO signaling pathway	65	2340	133	6782	0.000394653	0.006593029	1.416457811	3.403784448
PATH:05215	Prostate cancer	46	2340	89	6782	0.000592768	0.008858095	1.497992893	3.227115528
PATH:04510	Focal adhesion	94	2340	207	6782	0.000634022	0.008858095	1.316131963	3.197895415
PATH:04022	cGMP-PKG signaling pathway	78	2340	167	6782	0.000649592	0.008858095	1.353692615	3.187359162
PATH:05220	Chronic myeloid leukemia	39	2340	73	6782	0.000655	0.008858095	1.548401826	3.183758736
PATH:05218	Melanoma	38	2340	71	6782	0.000730443	0.009429349	1.551197785	3.136413943
PATH:04724	Glutamatergic synapse	62	2340	130	6782	0.001178701	0.014348986	1.38226167	2.928596413
PATH:04725	Cholinergic synapse	55	2340	113	6782	0.00121259	0.014348986	1.410672415	2.916285892
PATH:04728	Dopaminergic synapse	62	2340	131	6782	0.001496741	0.017002974	1.371710054	2.824853438
PATH:04150	mTOR signaling pathway	34	2340	64	6782	0.001619039	0.017684888	1.53971688	2.790742684
PATH:04915	Estrogen signaling pathway	49	2340	100	6782	0.001831849	0.019268343	1.420162393	2.737110212
PATH:04270	Vascular smooth muscle contraction	57	2340	121	6782	0.002599172	0.024557808	1.365310447	2.585165062
PATH:04971	Gastric acid secretion	38	2340	75	6782	0.002739333	0.024557808	1.468467236	2.562355187
PATH:04012	ErbB signaling pathway	43	2340	87	6782	0.002758718	0.024557808	1.432488457	2.559292627
