GeneID	GeneType	HAPI-19b-1	HAPI-19b-2	HAPI-19b-3	HAPI-NC-1	HAPI-NC-2	HAPI-NC-3
Adora2b	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Adora2a	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100362677	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
RGD1564036	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Rrp1	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100360017	mRNA	8.661510007811817	0.0	0.0	0.0	0.0	0.0
LOC103690921	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100360011	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555660	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100362674	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
Fam50a	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690920	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555661	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
Fam50b	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100360013	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC367842	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
Elk1	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Cyb561d2	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100362672	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
Cyb561d1	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Rrp9	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Elk3	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Rrp8	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690918	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555668	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690917	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553004	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689939	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Elk4	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555669	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690916	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553007	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690915	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553006	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555664	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690914	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553001	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689936	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb6	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690913	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553000	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb7	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689935	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555665	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690912	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689938	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553003	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555662	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb4	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690911	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553002	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb5	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555663	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689937	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689931	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl11	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689934	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl10	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb8	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689933	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
Abcb9	mRNA	0.0	0.0	0.0	0.0	1.8631769243630023	0.0
LOC102553008	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103689930	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690919	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
RGD1564040	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100360027	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
RGD1564026	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690932	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC367830	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690931	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102555672	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100362684	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC103690930	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100360024	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC102553010	mRNA	0.0	0.0	0.0	0.0	0.0	0.0
LOC100362686	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0
