smallRNAName	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-22153	3.25213123	9.040622098	8.809718882	16.319767	29.89947796	71.56605358	13.94477868	28.32411855	29.56684571
tsrna-06206	1.084043743	5.16606977	4.404859441	2.510733385	5.979895591	11.2999032	0	45.31858969	9.855615237
tsrna-13648	0	0	0	1.255366693	0	0	0	0	0
tsrna-09591	2.168087487	1.291517443	4.404859441	0	0	7.533268798	5.976333718	5.664823711	3.285205079
tsrna-20934	2.168087487	0	4.404859441	0	0	0	0	0	0
tsrna-08526	0	1.291517443	0	0	0	0	1.992111239	5.664823711	0
tsrna-16496	0	0	0	1.255366693	0	3.766634399	1.992111239	0	0
tsrna-24722	0	0	0	0	0	0	1.992111239	11.32964742	0
tsrna-03931	0	1.291517443	0	1.255366693	0	0	1.992111239	0	0
tsrna-24869	0	0	0	0	0	3.766634399	0	0	0
tsrna-09789	0	1.291517443	0	1.255366693	0	3.766634399	1.992111239	28.32411855	0
tsrna-16422	0	0	0	1.255366693	0	0	0	0	0
tsrna-24077	0	1.291517443	4.404859441	0	0	0	0	39.65376597	3.285205079
tsrna-15048	0	0	0	0	0	0	0	5.664823711	0
tsrna-05222	3.25213123	0	4.404859441	1.255366693	0	0	3.984222479	5.664823711	3.285205079
tsrna-21073	1.084043743	0	0	0	0	0	0	5.664823711	0
tsrna-20375	0	3.874552328	0	1.255366693	0	3.766634399	0	0	9.855615237
tsrna-02081	0	0	0	2.510733385	0	0	5.976333718	0	0
tsrna-03421	0	0	0	0	0	0	0	5.664823711	0
tsrna-20695	0	0	0	1.255366693	0	0	0	0	0
tsrna-24203	1.084043743	5.16606977	17.61943776	1.255366693	11.95979118	22.59980639	1.992111239	22.65929484	0
tsrna-24680	1.084043743	0	0	0	0	0	0	0	0
tsrna-06379	0	0	0	0	0	3.766634399	0	5.664823711	0
tsrna-15038	0	0	0	0	0	0	1.992111239	0	0
tsrna-21059	37.94153102	72.32497678	101.3117671	95.40786864	53.81906032	82.86595678	87.65289454	209.5984773	147.8342286
tsrna-01310	1.084043743	0	0	0	0	0	1.992111239	0	0
tsrna-22334	0	1.291517443	0	0	0	0	3.984222479	0	0
tsrna-09423	1.084043743	0	0	0	0	0	1.992111239	0	0
tsrna-18694	2.168087487	3.874552328	0	3.766100078	11.95979118	3.766634399	0	5.664823711	6.570410158
tsrna-19831	0	0	0	1.255366693	0	7.533268798	0	0	6.570410158
tsrna-15195	0	2.583034885	0	0	0	0	1.992111239	0	9.855615237
tsrna-03603	0	0	4.404859441	1.255366693	0	0	0	5.664823711	0
tsrna-11676	0	0	0	0	0	0	1.992111239	0	0
tsrna-03461	2.168087487	2.583034885	17.61943776	5.02146677	5.979895591	7.533268798	5.976333718	45.31858969	9.855615237
tsrna-21410	0	0	0	0	0	3.766634399	0	11.32964742	0
tsrna-17233	0	1.291517443	4.404859441	2.510733385	0	3.766634399	3.984222479	5.664823711	0
