GeneID	NC2	NC3	NC5	Pcos2	Pcos3	Pcos4
tsrna-13297	1412.508998	1837.829321	1122.297823	934.125331	507.9883661	674.1140216
tsrna-13299	1371.315335	1782.294071	1107.233423	979.3249438	509.9804773	594.8064896
tsrna-13300	1307.356754	1770.670414	1118.531723	1001.92475	543.8463684	719.4326113
tsrna-13351	806.528545	1195.945152	674.1319139	583.8283319	434.2802502	294.570833
tsrna-13295	870.4871259	1396.130355	706.7714479	523.5621815	318.7377983	634.4602556
tsrna-13296	1215.213036	1564.027623	979.1860202	738.2603422	476.1145862	594.8064896
tsrna-16535	4.336174973	6.457587213	5.02146677	15.0665376	21.91322363	430.526602
tsrna-13303	1370.231292	1716.426681	1127.31929	1016.991288	505.9962548	600.4713133
tsrna-13301	1379.987685	1836.537803	1141.128324	1088.557341	470.1382525	736.4270824
tsrna-04284	1.084043743	0	2.510733385	11.2999032	7.968444958	271.9115381
tsrna-13348	504.0803406	937.6416633	460.7195762	361.5969023	300.8087972	260.5818907
tsrna-10427	1.084043743	0	1.255366693	11.2999032	5.976333718	305.9004804
tsrna-17309	0	3.874552328	0	18.833172	5.976333718	243.5874196
tsrna-13294	610.3166275	991.8853959	553.6167114	500.9623751	256.9823499	532.4934288
tsrna-13298	1332.289761	1786.168623	1136.106857	1065.957535	511.9725885	628.7954319
tsrna-13349	675.3592521	1031.922437	537.2969444	365.3635367	370.5326905	334.2245989
tsrna-13556	1.084043743	2.583034885	6.276833463	26.36644079	23.90533487	339.8894226
tsrna-13552	3.25213123	0	2.510733385	22.59980639	7.968444958	305.9004804
tsrna-13551	0	1.291517443	3.766100078	22.59980639	5.976333718	283.2411855
tsrna-04282	3.25213123	1.291517443	0	22.59980639	9.960556197	266.2467144
tsrna-15740	0	1.291517443	0	7.533268798	29.88166859	67.97788453
tsrna-13554	2.168087487	3.874552328	2.510733385	3.766634399	5.976333718	379.5431886
tsrna-13302	1384.32386	1709.969094	1075.849256	1081.024073	484.0830312	611.8009608
tsrna-25195	2.168087487	0	1.255366693	15.0665376	3.984222479	334.2245989
