GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
LOC101927809	23.64669534	0	0	0	0	0	0	0	0	0
PEX12	6.058949446	5.8070428	0	0	0	0.020515162	0	0	0	0
DAPL1	0	0	0	0	36.55459128	0	0	16.24346547	0	0
LOC642554	0	0	0	0	0	0	8.915603202	0	2.668690359	0
CD300LF	0	0	0	0	0.081201576	4.837961595	3.911020046	8.079789956	0	8.91570734
LOC389199	15.29516336	0	0	6.630552639	0	0	0	0	0	0
CLEC14A	0	0	0	0	11.04635971	2.623267129	7.544786412	5.399205731	0	0.065102501
SNORA57	0	0	0	0	504.5479026	0	0	0	0	78.7329543
SNORA44	0	22.20414197	0	0	0	0	0	0	0	0
IGLV2-34	105.1634194	0	0	15.8904449	0	0	0	0	0	0
TTLL2	0.04313272	3.458391687	0	0	0	0	0	0	0	0
LOC102724708	29.28899207	34.73253329	0	0	0	0	0	0	0	0
MEG9	0	1.401835863	0	0	0	0	0	0	0	0
PHBP11	0	0	0	4.111022678	0	0	0	0	0	0
KRT8P47	0	0	0	0	0	0	0	0	13.37770931	12.68310036
GAPDHS	0	0	0	2.427423173	0	0	0	0	0	0
LOC102724877	0	0	0	0	0	12.2315956	0	0	186.9916291	0
LOC100288001	8.138063711	1.319538676	0	0.156940476	0	0	0	0	0	0
GEMIN8P4	0	9.833871029	0	0	0	0	0	0	0	0
PVRIG2P	0	0	0	0.060963429	0	4.615879036	18.31492688	10.12778227	11.70738184	0
RP11-789C1.1	12.90074026	0	13.44250493	0	0	0	0	0	0	0
DLAT	0	0	0	0	0	4.888698011	3.922427046	1.30335664	6.509559109	0
RGS9BP	0	0	14.13968054	0	0	0	0	0	0	0
LOC101927759	0	0	14.99209267	1.894105953	0	0	0	0	0	0
LOC102724574	222.3053458	19.7981204	0	0	0	0	0	0	0	0
LOC102724549	0	13.9291695	0	16.20082578	0	0	0	0	0	0
CHODL	0	0	0	0	0	0	7.773196472	4.050760741	0	0
LOC100129096	97.33160049	0	0	6.770251702	0	0	0	0	0	0
AC007551.3	0	0	0	0	7.86994373	0	0	1.037705201	0	0
LOC102724638	0	0	0	17.81682634	0	0	0	0	0	0
USP32P4	0	0	0	0.682486435	0	0	0	0	0	0
TCEA1P4	0	0	0	0	7.126053495	0	0	0	3.320323993	0
GPR62	0	0	6.830760946	0	0	0	0	0	0	0
PPP1R3G	0	0	0	9.898550451	0	0	0	0	0	0
BPIFB6	19.04214573	0	6.537400974	0	0	0	0	0	0	0
ID4	0	0	0	0	5.172521713	2.268183008	0	0	0	0
LOC100421642	0	0	0	0	38.34732891	0	0	0	38.8163936	0
TRIM6	0	0	0	1.347949398	0	0	0	0	0	0
DNALI1	0	3.231955338	0	2.879848855	0	0	0	0	0	0
ANKRD30B	0	0	0	0	10.11108112	0.035733941	0	0	0	1.235933146
TPCN2	6.024403442	0.368309641	2.563130989	0.981237073	0	0	0	0	0	0
IMPDH1P7	0	0	0	0	0	6.303976194	0	0	0	5.672987384
LOC102724147	0	0	0	0	0	5.130628562	0	16.09608886	0	0
NPBWR1	0	14.53517021	0	0	0	0	0	0	0	0
DPYS	0	0	0	4.634533979	0	0	0	0	0	0
DUSP9	9.862355575	0	0	0	0	0	0	0	0	0
BFSP2	0	0	0	0	0	1.535736163	22.15317471	0	0	0
LOC102724259	0	0	18.11431407	0	0	0	0	0	0	0
LOC102724248	0	2.012393292	0	7.279411841	0	0	0	0	0	0
ORC1	0	4.161962869	7.41282622	0	0	0	0	0	0.137342738	0
DRGX	0	0	0	0	22.17704332	0	0	0	0	6.626889195
ITPK1-AS1	0	0	1.007474658	0	0	0	0	0	0	0
PWRN2	2.855490349	0	0	0	0	0	0	0	0	0
LPO	0	5.696085607	0	0	0	0	0	0	0	0
LOC102724170	13.43496349	0	0	0	0	0	0	0	0	0
RP11-460N16.1	0	0	0	0	37.24764783	1.9008153	0	0	3.328172974	0
GLIS3	1.573464703	0	3.120279393	1.23896813	0	0.007195056	0	0	0	0
MOGAT2	0	14.04459946	0	0	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0	0	0	12.13594551	11.83607192
LOC102724017	0	0	0	0	0	0	102.9400238	34.88934612	0	0
DTD2	0	0	0	0	0	2.484186424	0.078498754	1.267673545	6.737196633	14.56642346
TOLLIP-AS1	26.67995949	25.37582836	0	0	0	0	0	0	0	0
GUCA1A	0	0	0	0	0	0	17.90637389	0	0	5.350645957
NF2	0	0.050668535	0	0	0	3.543526792	0.587573939	1.02329229	3.323800272	2.382929005
NAV2-AS4	0	0	0	6.979666885	0	0	0	0	0	0
MBL1P	0	0	0	0	0	0	6.946202606	0	0	16.25962382
IFNL4P1	0	20.79914896	0	0	0	0	0	0	0	0
EEF1E1	0	2.820116175	15.23876329	3.874019712	0	0	0	0	0	0
PCDHGB9P	0	0	0	6.956604589	0	0	0	0	0	0
GYG1P1	10.11772034	0	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	3.342411329	0	0	0	0	0	0
PSMA8	0	0	3.003783763	0	0	0	0	0	0	0
RP5-1109J22.2	0	0	0	0	35.6883088	0	0	0	10.80380836	0
LOC100996434	0	22.97097293	36.00841275	0	0	0	0	0	0	0
FLJ22763	0	4.139080726	11.43711432	0	0	0	0	0	0	0
