GeneID	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
LOC101927809	23.64669534	0	0	40.42984296	0	0	0	0	0	0	0	0
PEX12	6.058949446	5.8070428	0	12.87814285	0	3.145880671	0	0.020515162	0	0	0	0
DAPL1	0	0	0	0	0	0	36.55459128	0	0	16.24346547	0	0
DIO2	0	0	0	7.635740391	0	3.813955558	0	0	0	0	0	0
LOC642554	0	0	0	0	0	0	0	0	8.915603202	0	2.668690359	0
CD300LF	0	0	0	0	0	0.07309096	0.081201576	4.837961595	3.911020046	8.079789956	0	8.91570734
LOC389199	15.29516336	0	0	0	6.630552639	0	0	0	0	0	0	0
CLEC14A	0	0	0	0	0	0	11.04635971	2.623267129	7.544786412	5.399205731	0	0.065102501
SNORA57	0	0	0	0	0	0	504.5479026	0	0	0	0	78.7329543
SNORA44	0	22.20414197	0	0	0	240.3352572	0	0	0	0	0	0
IGLV2-34	105.1634194	0	0	0	15.8904449	0	0	0	0	0	0	0
TTLL2	0.04313272	3.458391687	0	32.72044749	0	0	0	0	0	0	0	0
LOC102724708	29.28899207	34.73253329	0	0	0	0	0	0	0	0	0	0
LOC102724715	0	0	0	11.09790839	0	37.52619061	0	0	0	0	0	0
SWT1	0	0	0	4.941315519	0	4.230132177	0	0	0	0	0	0
MEG9	0	1.401835863	0	18.15592342	0	0	0	0	0	0	0	0
PHBP11	0	0	0	37.61934628	4.111022678	0	0	0	0	0	0	0
KRT8P47	0	0	0	0	0	0	0	0	0	0	13.37770931	12.68310036
GPR144	0	0	0	9.021552196	0	22.44251345	0	0	0	0	0	0
GAPDHS	0	0	0	17.72312397	2.427423173	0	0	0	0	0	0	0
LOC102724877	0	0	0	0	0	0	0	12.2315956	0	0	186.9916291	0
LOC100288001	8.138063711	1.319538676	0	6.319009599	0.156940476	10.55123826	0	0	0	0	0	0
GEMIN8P4	0	9.833871029	0	0	0	7.695163961	0	0	0	0	0	0
PVRIG2P	0	0	0	0	0.060963429	0	0	4.615879036	18.31492688	10.12778227	11.70738184	0
RP11-789C1.1	12.90074026	0	13.44250493	0	0	0	0	0	0	0	0	0
DLAT	0	0	0	0	0	0	0	4.888698011	3.922427046	1.30335664	6.509559109	0
RGS9BP	0	0	14.13968054	1.705600615	0	0	0	0	0	0	0	0
LOC101927759	0	0	14.99209267	0	1.894105953	0	0	0	0	0	0	0
LOC102724574	222.3053458	19.7981204	0	0	0	0.778203747	0	0	0	0	0	0
LOC102724549	0	13.9291695	0	0	16.20082578	0	0	0	0	0	0	0
CHODL	0	0	0	0	0	0	0	0	7.773196472	4.050760741	0	0
LOC100129096	97.33160049	0	0	0	6.770251702	0.232466615	0	0	0	0	0	0
AC007551.3	0	0	0	0	0	0	7.86994373	0	0	1.037705201	0	0
LOC102724638	0	0	0	0	17.81682634	185.9007298	0	0	0	0	0	0
USP32P4	0	0	0	5.204441718	0.682486435	0	0	0	0	0	0	0
TCEA1P4	0	0	0	0	0	0	7.126053495	0	0	0	3.320323993	0
GPR62	0	0	6.830760946	0	0	34.20580185	0	0	0	0	0	0
