GeneID	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
3.8-1.3	0	0	0	0	0	0	0	2.501917282	0	0	0	0
3.8-1.5	0	0	3.496297487	0	0	0	0	0	0	0	0	0
5-HT3C2	1.033299692	0.331160012	0.024648131	7.33951627	0	6.248107367	0	0.737619641	0	0	0	1.425893839
A1BG	8.994271155	18.6492558	0.107273802	29.347727	9.032253227	36.09261387	0	11.81256302	0	18.09011783	0	8.128707067
A1BG-AS1	0	0	14.94218301	0	1.012966042	0	0.759025064	1.317911357	0	0	0	0
A1CF	0.84647227	0.558503751	0	2.219993784	0.663106041	0	2.103827264	0	1.700603138	0.939210093	0	0.469764176
A2M	86.04102794	82.62395662	111.151545	123.8613148	19.79935157	128.0436403	137.6004009	13.89898112	130.6346414	53.13355466	118.7055633	81.83770743
A2M-AS1	0	0	0	0	11.16932525	0	0	0.025167892	0	9.531297526	0	0
A2ML1	0	1.426135791	0	0	1.246697421	7.763901365	0	1.27216133	0	1.854672483	0.502972808	5.618965225
A2MP1	0	0	0	19.96244536	0	0	0	0	0	0	0	2.827540911
A3GALT2	0	0	0	0	0	0	0	0	19.54373429	0	0	0
A4GALT	0	4.202504544	11.17581195	12.13275259	0	0	0.132464022	4.397060688	0	5.290784329	5.527412224	3.667663118
A4GNT	0	0	0	0	2.262565919	0	0	1.616145325	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	9.28102072
AAAS	0.135103794	35.52102889	38.46662189	42.4161213	17.53410424	0	0	13.42346039	12.25841159	20.2277545	9.951030888	27.47690551
AACS	15.32010307	6.990720684	8.214440525	0.636986473	0.023203184	0	22.97782109	3.911458755	9.885879231	9.278612013	6.42177588	1.533819618
AACSP1	0	2.340501934	0	0	0	0	0	0.430214742	0	5.937841171	0	0
AADAC	0	0	0	0	0	0	0	0	4.848593345	0	0	0
AADACL2	0	0	0	0	0	21.5375669	0.107781559	3.522699533	0	0	0	0
AADACL3	0	0	0	0.696610546	1.275097765	0	0	0.462196623	0	0	0	0
AADACL4	0	4.554353331	0	0	0	0	0	0	0	0	0	0
AADAT	0	0.729520164	0	0	1.093253026	0	0	0	0	0	0	0
AAED1	4.431886959	1.22428853	0	24.95053265	19.31540761	0	0	3.130706017	0.13918992	5.394655199	27.34637433	0
AAGAB	8.126893191	5.627919642	14.67296455	1.68694743	2.419577231	5.309192668	0.290081947	4.230215404	4.27959057	7.656409562	0.065077622	4.292851878
AAK1	0.764456213	1.21507686	0.258355067	1.707731828	0.605156278	2.853682106	2.090754438	0.556504526	0.672981466	1.640847864	0	1.967130299
AAMDC	55.98801303	20.77580536	43.37473519	0	0	0.489980137	0	0	0.708603232	0	9.525435652	13.51282407
AAMP	28.44515065	71.1507604	33.28240011	80.62159803	52.13110974	27.18938858	30.38682551	87.33686707	63.61778952	40.62689858	54.86003619	58.6267806
AANAT	0	1.249887872	0	0	2.94052143	0	0	0.575454053	0	0	10.12448593	0
AAR2	0.042599669	2.912571065	0	0	6.560359743	10.64079418	0	6.48110807	10.40355064	11.55045124	32.57196423	13.93620377
AARD	0	0	13.25906597	0	0	0	0	0	0	0	0	0
AARS	32.58179097	24.26463714	29.79914809	21.2977113	6.152639245	21.88954026	0.38677593	21.31567684	23.78948876	13.99158031	39.76242711	13.80174959
AARS2	9.238195149	4.403291181	2.060051819	2.211869591	9.587907879	2.891005764	6.322193085	2.681896275	3.564798817	1.989998279	0.546096784	0
AARSD1	0	0	0	0	0.67792763	0	0	0	0	0	0	6.337279775
AASDH	3.064445699	3.210190513	0	4.108774844	0	0	0	3.100322581	0	0	0	0
AASDHPPT	0.607235123	1.536672531	0	19.34771269	2.828055317	0	0	3.55917628	0	2.01946023	0	0
AASS	0.021136576	0	6.034119395	0.600531448	0.525006124	0	0	0.815648046	1.433862441	0	0	6.625485141
AATF	33.15324686	11.34797098	32.73930304	15.97360357	14.18064592	1.22346278	27.03348774	8.843769261	13.07358069	33.4942324	55.09098834	27.61285616
AATK	6.744426008	3.376501922	0	4.839608412	10.17717214	0	2.279187115	0.020420026	0	4.05574801	6.943158182	0.629915903
AATK-AS1	0	0	0	0	3.22499244	0	0	0	0	0	0	0
ABCA1	4.265211214	1.946062745	0.775602969	1.342747835	1.83418485	3.727123973	4.525532474	0.529302123	1.42267127	3.386875786	0	1.102242422
ABCA10	2.254095089	1.157379064	0	0	0.876348084	0	0	0.930265879	0	0	0	0
ABCA11P	0	0	2.599252717	0	0	0	0.085315218	0.958518178	0	0	0	0
ABCA12	0.013517738	0.621746528	0	1.075383046	0.587586511	0	0	0.149897005	0	0	0	0.958432205
ABCA13	0	0.237889863	0	3.405898169	0.807169419	0	0	0.134530468	2.094263985	0	0	1.742636033
ABCA17P	5.066827784	0	3.79976717	0	2.189559478	0	6.562630748	0	0	0	0	4.828295553
ABCA2	14.01637244	11.55912151	10.24595055	11.76104826	5.358322027	14.72374087	7.851636757	4.792733375	9.730389409	7.141269097	16.89394	7.647859166
ABCA3	0	0	3.203669013	0	3.467192605	2.06541831	0.21969667	0	1.74770252	2.71972727	6.177333361	0
ABCA4	1.304279045	2.4425609	0	0	0.725769369	0	0	0.300530604	1.579993692	0	0	1.938430064
ABCA5	0.885514877	0.959019397	0.675932819	2.744641034	0.108309121	3.555892178	0.01747998	0.023804597	0.75089418	0	0.799985439	0.433918126
ABCA6	0	0	0	0	0.27577655	0	0	0	1.982060273	0	0	1.977085319
ABCA7	17.88873099	15.72238548	25.7261424	22.23287366	15.26690901	11.24669322	30.06313615	2.946237831	35.2147437	7.509322063	25.40331081	18.87880863
ABCA8	0	1.104796012	0	3.171034093	0.770064363	0	0	0	0.946417274	0	0	0
ABCA9	3.475685527	0.877630027	3.067608219	0	0.494608614	0	0.023584586	0.345268235	0	1.586524417	0	2.094135183
ABCB1	0	0.016354999	3.133323091	5.233257188	0	11.41728525	0.891323326	1.272179313	6.916995286	0	2.168812492	0
ABCB10	0	3.23931411	2.49518224	12.79212571	1.340468234	0	0	3.857329726	0	2.224088712	5.89476465	0
ABCB10P1	0	0.704338571	0	0	0.438523594	1.19408341	0	0.473496786	0	0.014993086	0	0
ABCB10P3	0	0	0	0	0	28.67503045	0.074606525	0.025400175	0	0	0	0
ABCB10P4	0.114529612	0.783047486	0	0	2.987011079	0	0	0	0	1.20240815	0	0
ABCB11	0	0	0	1.683590988	0.643936829	4.198367409	0	0.383302091	0	0	0	2.057697559
ABCB4	3.516171098	1.083071698	0	0	2.106142767	0	0	1.117958023	0	0	0	0.038705624
