GOID	GOTerm	QueryID	Symbol	Description	P-Value	FDR	Enrichment
GO:0006355	regulation of transcription, DNA-templated	MBD2	MBD2	methyl-CpG binding domain protein 2	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	BNC1	BNC1	basonuclin 1	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ZFP2	ZFP2	ZFP2 zinc finger protein	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	GLIS3	GLIS3	GLIS family zinc finger 3	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ZFP92	ZFP92	ZFP92 zinc finger protein	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	FOXN3	FOXN3	forkhead box N3	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ZNF586	ZNF586	zinc finger protein 586	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	FADS1	FADS1	fatty acid desaturase 1	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ZNF740	ZNF740	zinc finger protein 740	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ZCCHC12	ZCCHC12	zinc finger, CCHC domain containing 12	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	MINA	MINA	MYC induced nuclear antigen	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	MEF2C	MEF2C	myocyte enhancer factor 2C	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	FSTL3	FSTL3	follistatin-like 3 (secreted glycoprotein)	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	ILF3	ILF3	interleukin enhancer binding factor 3, 90kDa	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	VPS72	VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	RERE	RERE	arginine-glutamic acid dipeptide (RE) repeats	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	PRMT1	PRMT1	protein arginine methyltransferase 1	1.49489E-09	1.2001E-05	1.147015682
GO:0006355	regulation of transcription, DNA-templated	FSBP	FSBP	fibrinogen silencer binding protein	1.49489E-09	1.2001E-05	1.147015682
