AccID	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
LOC101927809	113	0	0	68	0	0	0	0	0	0	0	0
PEX12	131	202	0	98	0	58	0	1	0	0	0	0
DAPL1	0	0	0	0	0	0	123	0	0	78	0	0
DIO2	0	0	0	138	0	167	0	0	0	0	0	0
LOC642554	0	0	0	0	0	0	0	0	114	0	33	0
CD300LF	0	0	0	0	0	1	1	175	37	142	0	115
LOC389199	159	0	0	0	111	0	0	0	0	0	0	0
CLEC14A	0	0	0	0	0	0	162	113	85	113	0	1
SNORA57	0	0	0	0	0	0	465	0	0	0	0	76
SNORA44	0	38	0	0	0	218	0	0	0	0	0	0
IGLV2-34	300	0	0	0	73	0	0	0	0	0	0	0
TTLL2	1	129	0	267	0	0	0	0	0	0	0	0
LOC102724708	152	290	0	0	0	0	0	0	0	0	0	0
LOC102724715	0	0	0	26	0	213	0	0	0	0	0	0
SWT1	0	0	0	54	0	112	0	0	0	0	0	0
MEG9	0	48	0	136	0	0	0	0	0	0	0	0
PHBP11	0	0	0	86	43	0	0	0	0	0	0	0
KRT8P47	0	0	0	0	0	0	0	0	0	0	101	135
GPR144	0	0	0	74	0	446	0	0	0	0	0	0
GAPDHS	0	0	0	75	47	0	0	0	0	0	0	0
LOC102724877	0	0	0	0	0	0	0	30	0	0	116	0
LOC100288001	161	42	0	44	5	178	0	0	0	0	0	0
GEMIN8P4	0	217	0	0	0	90	0	0	0	0	0	0
PVRIG2P	0	0	0	0	1	0	0	106	110	113	68	0
RP11-789C1.1	126	0	86	0	0	0	0	0	0	0	0	0
DLAT	0	0	0	0	0	0	0	386	81	50	130	0
RGS9BP	0	0	216	14	0	0	0	0	0	0	0	0
LOC101927759	0	0	132	0	41	0	0	0	0	0	0	0
LOC102724574	335	48	0	0	0	1	0	0	0	0	0	0
LOC102724549	0	134	0	0	156	0	0	0	0	0	0	0
CHODL	0	0	0	0	0	0	0	0	94	91	0	0
LOC100129096	491	0	0	0	55	1	0	0	0	0	0	0
AC007551.3	0	0	0	0	0	0	186	0	0	35	0	0
LOC102724638	0	0	0	0	40	221	0	0	0	0	0	0
USP32P4	0	0	0	90	54	0	0	0	0	0	0	0
TCEA1P4	0	0	0	0	0	0	208	0	0	0	72	0
GPR62	0	0	79	0	0	515	0	0	0	0	0	0
PPP1R3G	0	0	0	23	223	0	0	0	0	0	0	0
BPIFB6	209	0	47	0	0	0	0	0	0	0	0	0
ID4	0	0	0	0	0	0	125	161	0	0	0	0
LOC100421642	0	0	0	0	0	0	125	0	0	0	94	0
TRIM6	0	0	0	84	60	0	0	0	0	0	0	0
DNALI1	0	111	0	47	99	140	0	0	0	0	0	0
ANKRD30B	0	0	0	0	0	0	289	3	0	0	0	37
TPCN2	244	24	68	183	64	168	0	0	0	0	0	0
IMPDH1P7	0	0	0	0	0	0	0	268	0	0	0	86
LOC102724147	0	0	0	0	0	0	0	103	0	157	0	0
NPBWR1	0	186	0	54	0	0	0	0	0	0	0	0
DPYS	0	0	0	0	134	451	0	0	0	0	0	0
DUSP9	194	0	0	0	0	105	0	0	0	0	0	0
BFSP2	0	0	0	0	0	0	0	44	166	0	0	0
LOC102724259	0	0	72	81	0	0	0	0	0	0	0	0
LOC102724248	0	58	0	0	210	0	0	0	0	0	0	0
ORC1	0	171	124	66	0	120	0	0	0	0	2	0
DRGX	0	0	0	0	0	0	131	0	0	0	0	41
ITPK1-AS1	0	0	25	151	0	0	0	0	0	0	0	0
PWRN2	118	0	0	48	0	0	0	0	0	0	0	0
LPO	0	220	0	0	0	91	0	0	0	0	0	0
LOC102724170	93	0	0	0	0	162	0	0	0	0	0	0
RP11-460N16.1	0	0	0	0	0	0	467	70	0	0	31	0
GLIS3	97	0	126	32	123	0	0	1	0	0	0	0
MOGAT2	0	183	0	96	0	0	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0	0	0	0	0	88	121
LOC102724017	0	0	0	0	0	0	0	0	135	85	0	0
DTD2	0	0	0	0	0	0	0	121	1	30	83	253
TOLLIP-AS1	215	329	0	280	0	0	0	0	0	0	0	0
GUCA1A	0	0	0	0	0	0	0	0	162	0	0	66
NF2	0	4	0	0	0	0	0	392	17	55	93	94
NAV2-AS4	0	0	0	0	124	213	0	0	0	0	0	0
