AccID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
RASSF10	0	0	0	0	487	0	0	37
SNORA57	0	0	0	0	465	0	0	76
GK	40	100	209	49	0	0	0	0
ACVR1C	0	0	0	0	423	23	0	73
HIST1H3A	50	208	158	183	0	0	0	0
TGFB3	256	134	26	542	0	0	0	0
CDCA3	0	0	0	0	518	1	101	186
ATP1A1OS	1	0	1	0	373	0	61	89
LOC100129096	491	0	0	55	0	0	0	0
FBXL14	442	703	209	311	10	0	0	0
BPIFB4	0	0	0	0	398	26	0	0
KIF2A	0	186	0	989	0	0	0	0
TPCN2	244	24	68	64	0	0	0	0
RP11-290F20.3	281	198	0	336	0	1	0	0
RP11-460N16.1	0	0	0	0	467	0	31	0
DHODH	0	1	0	0	197	88	146	289
MB21D1	66	189	49	161	0	0	1	1
TMEM92	76	105	125	64	0	0	0	0
GALNT14	278	131	34	98	0	0	0	0
HIST1H2AI	243	501	0	256	0	0	0	0
GATA1	62	292	0	753	0	0	0	1
TPSD1	102	170	120	158	0	0	0	1
SNX18P12	0	0	0	0	518	159	0	37
AGGF1	173	34	77	397	0	0	1	0
TPRG1	162	42	164	232	0	0	1	0
ATP5S	0	0	0	0	155	89	35	225
RGS8	0	0	0	0	419	49	40	0
GLYATL1P3	0	0	0	0	456	0	28	0
ZNF350	56	58	93	110	0	0	0	0
C9orf40	0	0	0	1	580	74	0	110
LOC343508	0	0	0	0	703	158	0	0
CRHBP	49	129	95	143	0	0	0	0
APOA1	0	0	0	0	74	237	601	23
FAM47E	0	0	0	0	613	32	0	39
TTC21A	0	0	0	0	2	161	154	89
DYNC1LI1	1	200	159	583	0	0	0	2
ETV6	51	182	44	408	0	1	0	0
NOD2	267	167	0	414	0	0	0	0
COQ3	90	100	109	64	0	0	0	0
CLTCL1	80	129	137	179	0	0	0	1
CPA4	0	0	0	0	407	79	153	0
ACSL6	389	85	6	217	0	0	0	0
FLJ45513	0	0	0	0	426	0	0	106
THUMPD2	0	0	0	0	179	18	134	64
GALNT9	48	229	89	66	0	0	0	0
FAM131A	555	0	0	569	0	0	0	0
SMIM6	0	0	0	0	427	0	58	0
GAL3ST4	0	0	0	0	548	128	108	0
RP11-677M14.7	92	76	64	86	0	0	0	0
NPTX2	0	0	0	0	405	0	0	71
ART1	0	0	0	0	513	64	58	0
ANKRD39	123	297	0	507	0	0	0	0
USHBP1	169	273	0	420	1	0	0	0
NAIF1	167	58	132	230	0	0	0	0
UNC13A	131	120	57	80	0	1	0	0
PCF11	183	503	59	588	1	0	0	0
CD27-AS1	149	195	1	348	0	0	0	0
DPYSL5	0	0	0	1	2	111	59	107
C16orf74	0	5	1	0	4	136	145	357
CAND2	71	262	168	7	0	0	0	0
SLC29A4	0	0	392	72	0	0	0	0
NUPR1L	251	229	123	1	0	0	0	0
SPATA5	126	151	48	29	0	0	0	0
NLRP3	79	186	66	80	0	0	0	0
LOC102723892	0	1	0	1	334	0	107	122
SLC1A7	418	313	0	90	0	0	0	0
ARMCX4	122	227	70	136	0	0	0	0
TRAF6	82	96	22	167	0	0	0	0
